tanggal,pm10,pm25,so2,co,o3,no2,max,critical,categori,location,cluster
2021-08-03,61,104.0,53,12,47,35,104,PM25,TIDAK SEHAT,DKI4,0
2021-08-04,64,89.0,53,9,50,26,89,PM25,SEDANG,DKI2,1
2021-08-05,61,90.0,55,11,58,27,90,PM25,SEDANG,DKI4,0
2021-08-06,76,105.0,58,20,38,52,105,PM25,TIDAK SEHAT,DKI4,0
2021-08-07,63,101.0,53,10,48,18,101,PM25,TIDAK SEHAT,DKI4,0
2021-08-08,60,92.0,53,9,57,17,92,PM25,SEDANG,DKI4,1
2021-08-09,56,82.0,52,8,57,16,82,PM25,SEDANG,DKI4,1
2021-08-10,36,68.0,48,8,55,19,68,PM25,SEDANG,DKI4,1
2021-08-11,61,102.0,50,12,59,25,102,PM25,TIDAK SEHAT,DKI4,0
2021-08-12,65,104.0,52,10,47,20,104,PM25,TIDAK SEHAT,DKI4,0
2021-08-13,61,101.0,51,11,49,32,101,PM25,TIDAK SEHAT,DKI4,0
2021-08-14,73,116.0,53,15,53,40,116,PM25,TIDAK SEHAT,DKI5,0
2021-08-15,63,114.0,53,12,46,30,114,PM25,TIDAK SEHAT,DKI4,0
2021-08-16,60,100.0,54,9,42,21,100,PM25,SEDANG,DKI4,1
2021-08-17,62,103.0,51,13,40,22,103,PM25,TIDAK SEHAT,DKI4,0
2021-08-18,62,97.0,51,11,42,26,97,PM25,SEDANG,DKI4,1
2021-08-19,72,119.0,55,15,28,36,119,PM25,TIDAK SEHAT,DKI4,0
2021-08-20,73,106.0,55,12,34,34,106,PM25,TIDAK SEHAT,DKI4,0
2021-08-21,60,89.0,51,13,33,35,89,PM25,SEDANG,DKI5,1
2021-08-22,74,134.0,52,14,29,29,134,PM25,TIDAK SEHAT,DKI4,0
2021-08-23,66,106.0,52,13,33,27,106,PM25,TIDAK SEHAT,DKI4,0
2021-08-24,69,110.0,52,12,41,30,110,PM25,TIDAK SEHAT,DKI4,0
2021-08-25,69,106.0,51,12,38,34,106,PM25,TIDAK SEHAT,DKI4,0
2021-08-26,64,96.0,51,10,31,33,96,PM25,SEDANG,DKI5,1
2021-08-27,63,105.0,52,11,32,31,105,PM25,TIDAK SEHAT,DKI4,0
2021-08-28,76,123.0,51,11,44,27,123,PM25,TIDAK SEHAT,DKI4,0
2021-08-29,68,122.0,52,12,36,29,122,PM25,TIDAK SEHAT,DKI4,0
2021-08-30,87,140.0,52,17,39,41,140,PM25,TIDAK SEHAT,DKI4,0
2021-08-31,74,109.0,51,19,48,33,109,PM25,TIDAK SEHAT,DKI4,0
